thread start:0
thread start:1
thread start:2
thread start:3
thread start:4
thread start:5
thread start:6
thread start:7
thread start:8
thread start:9
value, 1494575558015
currentms:1494575620411, ms:1494575558015
20170512 15:53:40.411589----GetLock Lock_2,ID:0
20170512 15:53:40.912075----DELLock Lock_1,ID:0
20170512 15:53:40.912081----DELLock Lock_2,ID:0
20170512 15:53:40.912298----DELLock Lock_3,ID:0
20170512 15:53:40.917310----GetLock Lock_1,ID:1
20170512 15:53:41.417874----DELLock Lock_1,ID:1
20170512 15:53:41.417894----DELLock Lock_2,ID:1
20170512 15:53:41.418199----DELLock Lock_3,ID:1
20170512 15:53:41.422055----GetLock Lock_1,ID:2
20170512 15:53:41.922231----DELLock Lock_1,ID:2
20170512 15:53:41.922236----DELLock Lock_2,ID:2
20170512 15:53:41.922410----DELLock Lock_3,ID:2
20170512 15:53:41.941143----GetLock Lock_1,ID:7
20170512 15:53:42.441296----DELLock Lock_1,ID:7
20170512 15:53:42.441304----DELLock Lock_2,ID:7
20170512 15:53:42.441526----DELLock Lock_3,ID:7
20170512 15:53:42.446226----GetLock Lock_1,ID:6
20170512 15:53:42.947015----DELLock Lock_1,ID:6
20170512 15:53:42.947026----DELLock Lock_2,ID:6
20170512 15:53:42.947290----DELLock Lock_3,ID:6
20170512 15:53:42.949907----GetLock Lock_1,ID:2
20170512 15:53:43.450053----DELLock Lock_1,ID:2
20170512 15:53:43.450061----DELLock Lock_2,ID:2
20170512 15:53:43.450384----DELLock Lock_3,ID:2
20170512 15:53:43.451632----GetLock Lock_1,ID:5
20170512 15:53:43.951756----DELLock Lock_1,ID:5
20170512 15:53:43.951762----DELLock Lock_2,ID:5
20170512 15:53:43.951955----DELLock Lock_3,ID:5
20170512 15:53:43.958790----GetLock Lock_1,ID:3
20170512 15:53:44.459478----DELLock Lock_1,ID:3
20170512 15:53:44.459502----DELLock Lock_2,ID:3
20170512 15:53:44.459811----DELLock Lock_3,ID:3
20170512 15:53:44.472722----GetLock Lock_1,ID:9
20170512 15:53:44.897791----lock failed,ID:4
20170512 15:53:44.972794----DELLock Lock_1,ID:9
20170512 15:53:44.972800----DELLock Lock_2,ID:9
20170512 15:53:44.972989----DELLock Lock_3,ID:9
20170512 15:53:44.973340----GetLock Lock_1,ID:1
20170512 15:53:45.330126----lock failed,ID:8
20170512 15:53:45.474219----DELLock Lock_1,ID:1
20170512 15:53:45.474228----DELLock Lock_2,ID:1
20170512 15:53:45.474643----DELLock Lock_3,ID:1
20170512 15:53:45.485956----GetLock Lock_1,ID:4
20170512 15:53:45.519644----lock failed,ID:0
20170512 15:53:45.986604----DELLock Lock_1,ID:4
20170512 15:53:45.986615----DELLock Lock_2,ID:4
20170512 15:53:45.986841----DELLock Lock_3,ID:4
20170512 15:53:45.988789----GetLock Lock_1,ID:2
20170512 15:53:46.489002----DELLock Lock_1,ID:2
20170512 15:53:46.489013----DELLock Lock_2,ID:2
20170512 15:53:46.489307----DELLock Lock_3,ID:2
20170512 15:53:46.507960----GetLock Lock_1,ID:0
20170512 15:53:47.008160----DELLock Lock_1,ID:0
20170512 15:53:47.008167----DELLock Lock_2,ID:0
20170512 15:53:47.008454----DELLock Lock_3,ID:0
20170512 15:53:47.010212----GetLock Lock_1,ID:4
20170512 15:53:47.054739----lock failed,ID:7
20170512 15:53:47.510422----DELLock Lock_1,ID:4
20170512 15:53:47.510443----DELLock Lock_2,ID:4
20170512 15:53:47.511430----DELLock Lock_3,ID:4
20170512 15:53:47.531334----GetLock Lock_1,ID:0
20170512 15:53:47.556474----lock failed,ID:6
20170512 15:53:48.031502----DELLock Lock_1,ID:0
20170512 15:53:48.031524----DELLock Lock_2,ID:0
20170512 15:53:48.031930----DELLock Lock_3,ID:0
20170512 15:53:48.037054----GetLock Lock_1,ID:2
20170512 15:53:48.537180----DELLock Lock_1,ID:2
20170512 15:53:48.537186----DELLock Lock_2,ID:2
20170512 15:53:48.537439----DELLock Lock_3,ID:2
20170512 15:53:48.545453----GetLock Lock_1,ID:8
20170512 15:53:48.601890----lock failed,ID:5
20170512 15:53:49.024869----lock failed,ID:3
20170512 15:53:49.045558----DELLock Lock_1,ID:8
20170512 15:53:49.045566----DELLock Lock_2,ID:8
20170512 15:53:49.045821----DELLock Lock_3,ID:8
20170512 15:53:49.051807----GetLock Lock_1,ID:7
20170512 15:53:49.546593----lock failed,ID:9
20170512 15:53:49.552090----DELLock Lock_1,ID:7
20170512 15:53:49.552098----DELLock Lock_2,ID:7
20170512 15:53:49.552293----DELLock Lock_3,ID:7
20170512 15:53:49.552543----GetLock Lock_1,ID:8
20170512 15:53:50.037251----lock failed,ID:1
20170512 15:53:50.053298----DELLock Lock_1,ID:8
20170512 15:53:50.053323----DELLock Lock_2,ID:8
20170512 15:53:50.053727----DELLock Lock_3,ID:8
20170512 15:53:50.054722----GetLock Lock_1,ID:4
20170512 15:53:50.554949----DELLock Lock_1,ID:4
20170512 15:53:50.554957----DELLock Lock_2,ID:4
20170512 15:53:50.555167----DELLock Lock_3,ID:4
20170512 15:53:50.558638----GetLock Lock_1,ID:2
20170512 15:53:51.059138----DELLock Lock_1,ID:2
20170512 15:53:51.059146----DELLock Lock_2,ID:2
20170512 15:53:51.059366----DELLock Lock_3,ID:2
20170512 15:53:51.072492----GetLock Lock_1,ID:8
20170512 15:53:51.573112----DELLock Lock_1,ID:8
20170512 15:53:51.573120----DELLock Lock_2,ID:8
20170512 15:53:51.573317----DELLock Lock_3,ID:8
20170512 15:53:51.573938----GetLock Lock_1,ID:3
20170512 15:53:52.074154----DELLock Lock_1,ID:3
20170512 15:53:52.074160----DELLock Lock_2,ID:3
20170512 15:53:52.074373----DELLock Lock_3,ID:3
20170512 15:53:52.079709----GetLock Lock_1,ID:0
20170512 15:53:52.168220----lock failed,ID:6
20170512 15:53:52.579860----DELLock Lock_1,ID:0
20170512 15:53:52.579868----DELLock Lock_2,ID:0
20170512 15:53:52.580100----DELLock Lock_3,ID:0
20170512 15:53:52.588186----GetLock Lock_1,ID:8
20170512 15:53:53.088896----DELLock Lock_1,ID:8
20170512 15:53:53.088904----DELLock Lock_2,ID:8
20170512 15:53:53.089118----DELLock Lock_3,ID:8
20170512 15:53:53.098575----GetLock Lock_1,ID:6
20170512 15:53:53.178308----lock failed,ID:5
20170512 15:53:53.599331----DELLock Lock_1,ID:6
20170512 15:53:53.599390----DELLock Lock_2,ID:6
20170512 15:53:53.599729----DELLock Lock_3,ID:6
20170512 15:53:53.602820----GetLock Lock_1,ID:9
20170512 15:53:54.103043----DELLock Lock_1,ID:9
20170512 15:53:54.103049----DELLock Lock_2,ID:9
20170512 15:53:54.103362----GetLock Lock_1,ID:5
20170512 15:53:54.103438----DELLock Lock_3,ID:9
20170512 15:53:54.163700----lock failed,ID:7
20170512 15:53:54.604049----DELLock Lock_1,ID:5
20170512 15:53:54.604471----DELLock Lock_2,ID:5
20170512 15:53:54.604678----DELLock Lock_3,ID:5
20170512 15:53:54.612043----lock failed,ID:1
20170512 15:53:54.614936----GetLock Lock_1,ID:4
20170512 15:53:55.115097----DELLock Lock_1,ID:4
20170512 15:53:55.115108----DELLock Lock_2,ID:4
20170512 15:53:55.115327----DELLock Lock_3,ID:4
20170512 15:53:55.117283----GetLock Lock_1,ID:2
20170512 15:53:55.617453----DELLock Lock_1,ID:2
20170512 15:53:55.617461----DELLock Lock_2,ID:2
20170512 15:53:55.617673----DELLock Lock_3,ID:2
20170512 15:53:55.621112----GetLock Lock_1,ID:9
20170512 15:53:56.121836----DELLock Lock_1,ID:9
20170512 15:53:56.121844----DELLock Lock_2,ID:9
20170512 15:53:56.122070----DELLock Lock_3,ID:9
20170512 15:53:56.128905----GetLock Lock_1,ID:0
20170512 15:53:56.629549----DELLock Lock_1,ID:0
20170512 15:53:56.629557----DELLock Lock_2,ID:0
20170512 15:53:56.629788----DELLock Lock_3,ID:0
20170512 15:53:56.632397----GetLock Lock_1,ID:2
20170512 15:53:56.708271----lock failed,ID:3
20170512 15:53:57.132572----DELLock Lock_1,ID:2
20170512 15:53:57.132580----DELLock Lock_2,ID:2
20170512 15:53:57.132812----DELLock Lock_3,ID:2
20170512 15:53:57.136285----GetLock Lock_1,ID:0
20170512 15:53:57.636955----DELLock Lock_1,ID:0
20170512 15:53:57.636963----DELLock Lock_2,ID:0
20170512 15:53:57.637166----DELLock Lock_3,ID:0
20170512 15:53:57.644502----GetLock Lock_1,ID:3
20170512 15:53:57.701695----lock failed,ID:8
20170512 15:53:58.145385----DELLock Lock_1,ID:3
20170512 15:53:58.145392----DELLock Lock_2,ID:3
20170512 15:53:58.145604----DELLock Lock_3,ID:3
20170512 15:53:58.157576----GetLock Lock_1,ID:0
20170512 15:53:58.222084----lock failed,ID:6
20170512 15:53:58.657744----DELLock Lock_1,ID:0
20170512 15:53:58.657763----DELLock Lock_2,ID:0
20170512 15:53:58.658003----DELLock Lock_3,ID:0
20170512 15:53:58.671924----GetLock Lock_1,ID:1
20170512 15:53:58.761812----lock failed,ID:7
20170512 15:53:59.172126----DELLock Lock_1,ID:1
20170512 15:53:59.172138----DELLock Lock_2,ID:1
20170512 15:53:59.175558----DELLock Lock_3,ID:1
20170512 15:53:59.177035----GetLock Lock_1,ID:8
20170512 15:53:59.242842----lock failed,ID:5
20170512 15:53:59.677151----DELLock Lock_1,ID:8
20170512 15:53:59.677158----DELLock Lock_2,ID:8
20170512 15:53:59.677334----DELLock Lock_3,ID:8
20170512 15:53:59.681341----GetLock Lock_1,ID:2
20170512 15:53:59.719191----lock failed,ID:4
20170512 15:54:00.181540----DELLock Lock_1,ID:2
20170512 15:54:00.181549----DELLock Lock_2,ID:2
20170512 15:54:00.181809----DELLock Lock_3,ID:2
20170512 15:54:00.184425----GetLock Lock_1,ID:0
20170512 15:54:00.684576----DELLock Lock_1,ID:0
20170512 15:54:00.684585----DELLock Lock_2,ID:0
20170512 15:54:00.684775----DELLock Lock_3,ID:0
20170512 15:54:00.701634----GetLock Lock_1,ID:6
20170512 15:54:00.710593----lock failed,ID:9
20170512 15:54:01.202315----DELLock Lock_1,ID:6
20170512 15:54:01.202324----DELLock Lock_2,ID:6
20170512 15:54:01.202705----DELLock Lock_3,ID:6
20170512 15:54:01.212065----GetLock Lock_1,ID:9
20170512 15:54:01.713343----DELLock Lock_1,ID:9
20170512 15:54:01.713351----DELLock Lock_2,ID:9
20170512 15:54:01.713555----DELLock Lock_3,ID:9
20170512 15:54:01.718290----GetLock Lock_1,ID:1
20170512 15:54:02.218372----DELLock Lock_1,ID:1
20170512 15:54:02.218381----DELLock Lock_2,ID:1
20170512 15:54:02.218676----DELLock Lock_3,ID:1
20170512 15:54:02.221342----GetLock Lock_1,ID:7
20170512 15:54:02.721434----DELLock Lock_1,ID:7
20170512 15:54:02.721443----DELLock Lock_2,ID:7
20170512 15:54:02.721656----DELLock Lock_3,ID:7
20170512 15:54:02.725655----GetLock Lock_1,ID:5
20170512 15:54:02.762121----lock failed,ID:3
20170512 15:54:03.225791----DELLock Lock_1,ID:5
20170512 15:54:03.225797----DELLock Lock_2,ID:5
20170512 15:54:03.225985----DELLock Lock_3,ID:5
20170512 15:54:03.242763----GetLock Lock_1,ID:9
20170512 15:54:03.743532----DELLock Lock_1,ID:9
20170512 15:54:03.743553----DELLock Lock_2,ID:9
20170512 15:54:03.743834----DELLock Lock_3,ID:9
20170512 15:54:03.751112----GetLock Lock_1,ID:2
20170512 15:54:04.251910----DELLock Lock_1,ID:2
20170512 15:54:04.251932----DELLock Lock_2,ID:2
20170512 15:54:04.252265----DELLock Lock_3,ID:2
20170512 15:54:04.259453----GetLock Lock_1,ID:5
20170512 15:54:04.296593----lock failed,ID:8
20170512 15:54:04.328660----lock failed,ID:4
20170512 15:54:04.760286----DELLock Lock_1,ID:5
20170512 15:54:04.760294----DELLock Lock_2,ID:5
20170512 15:54:04.760536----DELLock Lock_3,ID:5
20170512 15:54:04.797272----GetLock Lock_1,ID:8
20170512 15:54:05.297371----DELLock Lock_1,ID:8
20170512 15:54:05.297380----DELLock Lock_2,ID:8
20170512 15:54:05.297641----DELLock Lock_3,ID:8
20170512 15:54:05.305606----GetLock Lock_1,ID:7
20170512 15:54:05.326084----lock failed,ID:0
20170512 15:54:05.805979----DELLock Lock_1,ID:7
20170512 15:54:05.805990----DELLock Lock_2,ID:7
20170512 15:54:05.806258----DELLock Lock_3,ID:7
20170512 15:54:05.819730----lock failed,ID:6
20170512 15:54:05.822687----GetLock Lock_1,ID:5
20170512 15:54:06.323443----DELLock Lock_1,ID:5
20170512 15:54:06.323451----DELLock Lock_2,ID:5
